"eventID","occurrenceID","organismQuantity","organismQuantityType","occurrenceStatus","basisOfRecord","scientificName","kingdom","phylum","class","order","family","genus","genericName","specificEpithet","taxonRank","vernacularName","taxonomicStatus"
"HOG-1981-FICHYP","HOG-1981-FICHYP_1",94,"breeding pairs","present","HumanObservation","Ficedula hypoleuca (Pallas, 1764)","Animalia","Chordata","Aves","Passeriformes","Muscicapidae","Ficedula","Ficedula","hypoleuca","species","Pied flycatcher","accepted"
"HOG-1981-PARMAJ","HOG-1981-PARMAJ_1",166,"breeding pairs","present","HumanObservation","Parus major Linnaeus, 1758","Animalia","Chordata","Aves","Passeriformes","Paridae","Parus","Parus","major","species","Great tit","accepted"
"HOG-1981-PASMON","HOG-1981-PASMON_1",59,"breeding pairs","present","HumanObservation","Passer montanus (Linnaeus, 1758)","Animalia","Chordata","Aves","Passeriformes","Passeridae","Passer","Passer","montanus","species","Eurasian tree sparrow","accepted"
"HOG-1981-PERATE","HOG-1981-PERATE_1",9,"breeding pairs","present","HumanObservation","Periparus ater (Linnaeus, 1758)","Animalia","Chordata","Aves","Passeriformes","Paridae","Periparus","Periparus","ater","species","Coal tit","accepted"
"HOG-1982-CYACAE","HOG-1982-CYACAE_1",46,"breeding pairs","present","HumanObservation","Cyanistes caeruleus (Linnaeus, 1758)","Animalia","Chordata","Aves","Passeriformes","Paridae","Cyanistes","Cyanistes","caeruleus","species","Blue tit","accepted"
"HOG-1982-FICHYP","HOG-1982-FICHYP_1",78,"breeding pairs","present","HumanObservation","Ficedula hypoleuca (Pallas, 1764)","Animalia","Chordata","Aves","Passeriformes","Muscicapidae","Ficedula","Ficedula","hypoleuca","species","Pied flycatcher","accepted"
"HOG-1982-PARMAJ","HOG-1982-PARMAJ_1",129,"breeding pairs","present","HumanObservation","Parus major Linnaeus, 1758","Animalia","Chordata","Aves","Passeriformes","Paridae","Parus","Parus","major","species","Great tit","accepted"
"HOG-1982-PASMON","HOG-1982-PASMON_1",42,"breeding pairs","present","HumanObservation","Passer montanus (Linnaeus, 1758)","Animalia","Chordata","Aves","Passeriformes","Passeridae","Passer","Passer","montanus","species","Eurasian tree sparrow","accepted"
"HOG-1982-PERATE","HOG-1982-PERATE_1",6,"breeding pairs","present","HumanObservation","Periparus ater (Linnaeus, 1758)","Animalia","Chordata","Aves","Passeriformes","Paridae","Periparus","Periparus","ater","species","Coal tit","accepted"
"HOG-1982-SITEUR","HOG-1982-SITEUR_1",2,"breeding pairs","present","HumanObservation","Sitta europaea Linnaeus, 1758","Animalia","Chordata","Aves","Passeriformes","Sittidae","Sitta","Sitta","europaea","species","Eurasian nuthatch","accepted"
"HOG-1983-CYACAE","HOG-1983-CYACAE_1",83,"breeding pairs","present","HumanObservation","Cyanistes caeruleus (Linnaeus, 1758)","Animalia","Chordata","Aves","Passeriformes","Paridae","Cyanistes","Cyanistes","caeruleus","species","Blue tit","accepted"
"HOG-1983-FICHYP","HOG-1983-FICHYP_1",94,"breeding pairs","present","HumanObservation","Ficedula hypoleuca (Pallas, 1764)","Animalia","Chordata","Aves","Passeriformes","Muscicapidae","Ficedula","Ficedula","hypoleuca","species","Pied flycatcher","accepted"
"HOG-1983-PARMAJ","HOG-1983-PARMAJ_1",140,"breeding pairs","present","HumanObservation","Parus major Linnaeus, 1758","Animalia","Chordata","Aves","Passeriformes","Paridae","Parus","Parus","major","species","Great tit","accepted"
"HOG-1983-PASMON","HOG-1983-PASMON_1",18,"breeding pairs","present","HumanObservation","Passer montanus (Linnaeus, 1758)","Animalia","Chordata","Aves","Passeriformes","Passeridae","Passer","Passer","montanus","species","Eurasian tree sparrow","accepted"
"HOG-1983-PERATE","HOG-1983-PERATE_1",9,"breeding pairs","present","HumanObservation","Periparus ater (Linnaeus, 1758)","Animalia","Chordata","Aves","Passeriformes","Paridae","Periparus","Periparus","ater","species","Coal tit","accepted"
"HOG-1983-SITEUR","HOG-1983-SITEUR_1",4,"breeding pairs","present","HumanObservation","Sitta europaea Linnaeus, 1758","Animalia","Chordata","Aves","Passeriformes","Sittidae","Sitta","Sitta","europaea","species","Eurasian nuthatch","accepted"
"HOG-1984-CYACAE","HOG-1984-CYACAE_1",48,"breeding pairs","present","HumanObservation","Cyanistes caeruleus (Linnaeus, 1758)","Animalia","Chordata","Aves","Passeriformes","Paridae","Cyanistes","Cyanistes","caeruleus","species","Blue tit","accepted"
"HOG-1984-FICHYP","HOG-1984-FICHYP_1",101,"breeding pairs","present","HumanObservation","Ficedula hypoleuca (Pallas, 1764)","Animalia","Chordata","Aves","Passeriformes","Muscicapidae","Ficedula","Ficedula","hypoleuca","species","Pied flycatcher","accepted"
"HOG-1984-PARMAJ","HOG-1984-PARMAJ_1",160,"breeding pairs","present","HumanObservation","Parus major Linnaeus, 1758","Animalia","Chordata","Aves","Passeriformes","Paridae","Parus","Parus","major","species","Great tit","accepted"
"HOG-1984-PASMON","HOG-1984-PASMON_1",17,"breeding pairs","present","HumanObservation","Passer montanus (Linnaeus, 1758)","Animalia","Chordata","Aves","Passeriformes","Passeridae","Passer","Passer","montanus","species","Eurasian tree sparrow","accepted"
"HOG-1984-PERATE","HOG-1984-PERATE_1",13,"breeding pairs","present","HumanObservation","Periparus ater (Linnaeus, 1758)","Animalia","Chordata","Aves","Passeriformes","Paridae","Periparus","Periparus","ater","species","Coal tit","accepted"
"HOG-1984-PHOPHO","HOG-1984-PHOPHO_1",2,"breeding pairs","present","HumanObservation","Phoenicurus phoenicurus (Linnaeus, 1758)","Animalia","Chordata","Aves","Passeriformes","Muscicapidae","Phoenicurus","Phoenicurus","phoenicurus","species","Common redstart","accepted"
"HOG-1985-CYACAE","HOG-1985-CYACAE_1",46,"breeding pairs","present","HumanObservation","Cyanistes caeruleus (Linnaeus, 1758)","Animalia","Chordata","Aves","Passeriformes","Paridae","Cyanistes","Cyanistes","caeruleus","species","Blue tit","accepted"
"HOG-1985-FICHYP","HOG-1985-FICHYP_1",88,"breeding pairs","present","HumanObservation","Ficedula hypoleuca (Pallas, 1764)","Animalia","Chordata","Aves","Passeriformes","Muscicapidae","Ficedula","Ficedula","hypoleuca","species","Pied flycatcher","accepted"
"HOG-1985-PARMAJ","HOG-1985-PARMAJ_1",69,"breeding pairs","present","HumanObservation","Parus major Linnaeus, 1758","Animalia","Chordata","Aves","Passeriformes","Paridae","Parus","Parus","major","species","Great tit","accepted"
"HOG-1985-PASMON","HOG-1985-PASMON_1",10,"breeding pairs","present","HumanObservation","Passer montanus (Linnaeus, 1758)","Animalia","Chordata","Aves","Passeriformes","Passeridae","Passer","Passer","montanus","species","Eurasian tree sparrow","accepted"
"HOG-1985-PERATE","HOG-1985-PERATE_1",41,"breeding pairs","present","HumanObservation","Periparus ater (Linnaeus, 1758)","Animalia","Chordata","Aves","Passeriformes","Paridae","Periparus","Periparus","ater","species","Coal tit","accepted"
"HOG-1986-CYACAE","HOG-1986-CYACAE_1",50,"breeding pairs","present","HumanObservation","Cyanistes caeruleus (Linnaeus, 1758)","Animalia","Chordata","Aves","Passeriformes","Paridae","Cyanistes","Cyanistes","caeruleus","species","Blue tit","accepted"
"HOG-1986-FICHYP","HOG-1986-FICHYP_1",112,"breeding pairs","present","HumanObservation","Ficedula hypoleuca (Pallas, 1764)","Animalia","Chordata","Aves","Passeriformes","Muscicapidae","Ficedula","Ficedula","hypoleuca","species","Pied flycatcher","accepted"
"HOG-1986-PARMAJ","HOG-1986-PARMAJ_1",93,"breeding pairs","present","HumanObservation","Parus major Linnaeus, 1758","Animalia","Chordata","Aves","Passeriformes","Paridae","Parus","Parus","major","species","Great tit","accepted"
"HOG-1986-PASMON","HOG-1986-PASMON_1",2,"breeding pairs","present","HumanObservation","Passer montanus (Linnaeus, 1758)","Animalia","Chordata","Aves","Passeriformes","Passeridae","Passer","Passer","montanus","species","Eurasian tree sparrow","accepted"
"HOG-1986-PERATE","HOG-1986-PERATE_1",14,"breeding pairs","present","HumanObservation","Periparus ater (Linnaeus, 1758)","Animalia","Chordata","Aves","Passeriformes","Paridae","Periparus","Periparus","ater","species","Coal tit","accepted"
"HOG-1986-PHOPHO","HOG-1986-PHOPHO_1",1,"breeding pairs","present","HumanObservation","Phoenicurus phoenicurus (Linnaeus, 1758)","Animalia","Chordata","Aves","Passeriformes","Muscicapidae","Phoenicurus","Phoenicurus","phoenicurus","species","Common redstart","accepted"
"HOG-1986-POEPAL","HOG-1986-POEPAL_1",1,"breeding pairs","present","HumanObservation","Poecile palustris (Linnaeus, 1758)","Animalia","Chordata","Aves","Passeriformes","Paridae","Poecile","Poecile","palustris","species","Marsh tit","accepted"
"HOG-1987-CYACAE","HOG-1987-CYACAE_1",34,"breeding pairs","present","HumanObservation","Cyanistes caeruleus (Linnaeus, 1758)","Animalia","Chordata","Aves","Passeriformes","Paridae","Cyanistes","Cyanistes","caeruleus","species","Blue tit","accepted"
"HOG-1987-FICHYP","HOG-1987-FICHYP_1",124,"breeding pairs","present","HumanObservation","Ficedula hypoleuca (Pallas, 1764)","Animalia","Chordata","Aves","Passeriformes","Muscicapidae","Ficedula","Ficedula","hypoleuca","species","Pied flycatcher","accepted"
"HOG-1987-PARMAJ","HOG-1987-PARMAJ_1",132,"breeding pairs","present","HumanObservation","Parus major Linnaeus, 1758","Animalia","Chordata","Aves","Passeriformes","Paridae","Parus","Parus","major","species","Great tit","accepted"
"HOG-1987-PASMON","HOG-1987-PASMON_1",15,"breeding pairs","present","HumanObservation","Passer montanus (Linnaeus, 1758)","Animalia","Chordata","Aves","Passeriformes","Passeridae","Passer","Passer","montanus","species","Eurasian tree sparrow","accepted"
"HOG-1987-PERATE","HOG-1987-PERATE_1",18,"breeding pairs","present","HumanObservation","Periparus ater (Linnaeus, 1758)","Animalia","Chordata","Aves","Passeriformes","Paridae","Periparus","Periparus","ater","species","Coal tit","accepted"
"HOG-1987-SITEUR","HOG-1987-SITEUR_1",2,"breeding pairs","present","HumanObservation","Sitta europaea Linnaeus, 1758","Animalia","Chordata","Aves","Passeriformes","Sittidae","Sitta","Sitta","europaea","species","Eurasian nuthatch","accepted"
"HOG-1988-CYACAE","HOG-1988-CYACAE_1",60,"breeding pairs","present","HumanObservation","Cyanistes caeruleus (Linnaeus, 1758)","Animalia","Chordata","Aves","Passeriformes","Paridae","Cyanistes","Cyanistes","caeruleus","species","Blue tit","accepted"
"HOG-1988-FICHYP","HOG-1988-FICHYP_1",119,"breeding pairs","present","HumanObservation","Ficedula hypoleuca (Pallas, 1764)","Animalia","Chordata","Aves","Passeriformes","Muscicapidae","Ficedula","Ficedula","hypoleuca","species","Pied flycatcher","accepted"
"HOG-1988-PARMAJ","HOG-1988-PARMAJ_1",207,"breeding pairs","present","HumanObservation","Parus major Linnaeus, 1758","Animalia","Chordata","Aves","Passeriformes","Paridae","Parus","Parus","major","species","Great tit","accepted"
"HOG-1988-PASMON","HOG-1988-PASMON_1",16,"breeding pairs","present","HumanObservation","Passer montanus (Linnaeus, 1758)","Animalia","Chordata","Aves","Passeriformes","Passeridae","Passer","Passer","montanus","species","Eurasian tree sparrow","accepted"
"HOG-1988-PERATE","HOG-1988-PERATE_1",13,"breeding pairs","present","HumanObservation","Periparus ater (Linnaeus, 1758)","Animalia","Chordata","Aves","Passeriformes","Paridae","Periparus","Periparus","ater","species","Coal tit","accepted"
"HOG-1988-SITEUR","HOG-1988-SITEUR_1",6,"breeding pairs","present","HumanObservation","Sitta europaea Linnaeus, 1758","Animalia","Chordata","Aves","Passeriformes","Sittidae","Sitta","Sitta","europaea","species","Eurasian nuthatch","accepted"
"HOG-1989-CYACAE","HOG-1989-CYACAE_1",38,"breeding pairs","present","HumanObservation","Cyanistes caeruleus (Linnaeus, 1758)","Animalia","Chordata","Aves","Passeriformes","Paridae","Cyanistes","Cyanistes","caeruleus","species","Blue tit","accepted"
"HOG-1989-FICHYP","HOG-1989-FICHYP_1",110,"breeding pairs","present","HumanObservation","Ficedula hypoleuca (Pallas, 1764)","Animalia","Chordata","Aves","Passeriformes","Muscicapidae","Ficedula","Ficedula","hypoleuca","species","Pied flycatcher","accepted"
"HOG-1989-PARMAJ","HOG-1989-PARMAJ_1",99,"breeding pairs","present","HumanObservation","Parus major Linnaeus, 1758","Animalia","Chordata","Aves","Passeriformes","Paridae","Parus","Parus","major","species","Great tit","accepted"
"HOG-1989-PASMON","HOG-1989-PASMON_1",10,"breeding pairs","present","HumanObservation","Passer montanus (Linnaeus, 1758)","Animalia","Chordata","Aves","Passeriformes","Passeridae","Passer","Passer","montanus","species","Eurasian tree sparrow","accepted"
"HOG-1989-PERATE","HOG-1989-PERATE_1",18,"breeding pairs","present","HumanObservation","Periparus ater (Linnaeus, 1758)","Animalia","Chordata","Aves","Passeriformes","Paridae","Periparus","Periparus","ater","species","Coal tit","accepted"
"HOG-1989-POEPAL","HOG-1989-POEPAL_1",2,"breeding pairs","present","HumanObservation","Poecile palustris (Linnaeus, 1758)","Animalia","Chordata","Aves","Passeriformes","Paridae","Poecile","Poecile","palustris","species","Marsh tit","accepted"
"HOG-1990-CYACAE","HOG-1990-CYACAE_1",33,"breeding pairs","present","HumanObservation","Cyanistes caeruleus (Linnaeus, 1758)","Animalia","Chordata","Aves","Passeriformes","Paridae","Cyanistes","Cyanistes","caeruleus","species","Blue tit","accepted"
"HOG-1990-FICHYP","HOG-1990-FICHYP_1",126,"breeding pairs","present","HumanObservation","Ficedula hypoleuca (Pallas, 1764)","Animalia","Chordata","Aves","Passeriformes","Muscicapidae","Ficedula","Ficedula","hypoleuca","species","Pied flycatcher","accepted"
"HOG-1990-PARMAJ","HOG-1990-PARMAJ_1",110,"breeding pairs","present","HumanObservation","Parus major Linnaeus, 1758","Animalia","Chordata","Aves","Passeriformes","Paridae","Parus","Parus","major","species","Great tit","accepted"
"HOG-1990-PASMON","HOG-1990-PASMON_1",22,"breeding pairs","present","HumanObservation","Passer montanus (Linnaeus, 1758)","Animalia","Chordata","Aves","Passeriformes","Passeridae","Passer","Passer","montanus","species","Eurasian tree sparrow","accepted"
"HOG-1990-PERATE","HOG-1990-PERATE_1",16,"breeding pairs","present","HumanObservation","Periparus ater (Linnaeus, 1758)","Animalia","Chordata","Aves","Passeriformes","Paridae","Periparus","Periparus","ater","species","Coal tit","accepted"
"HOG-1991-CYACAE","HOG-1991-CYACAE_1",50,"breeding pairs","present","HumanObservation","Cyanistes caeruleus (Linnaeus, 1758)","Animalia","Chordata","Aves","Passeriformes","Paridae","Cyanistes","Cyanistes","caeruleus","species","Blue tit","accepted"
"HOG-1991-FICHYP","HOG-1991-FICHYP_1",69,"breeding pairs","present","HumanObservation","Ficedula hypoleuca (Pallas, 1764)","Animalia","Chordata","Aves","Passeriformes","Muscicapidae","Ficedula","Ficedula","hypoleuca","species","Pied flycatcher","accepted"
"HOG-1991-PARMAJ","HOG-1991-PARMAJ_1",156,"breeding pairs","present","HumanObservation","Parus major Linnaeus, 1758","Animalia","Chordata","Aves","Passeriformes","Paridae","Parus","Parus","major","species","Great tit","accepted"
"HOG-1991-PASMON","HOG-1991-PASMON_1",12,"breeding pairs","present","HumanObservation","Passer montanus (Linnaeus, 1758)","Animalia","Chordata","Aves","Passeriformes","Passeridae","Passer","Passer","montanus","species","Eurasian tree sparrow","accepted"
"HOG-1991-PERATE","HOG-1991-PERATE_1",32,"breeding pairs","present","HumanObservation","Periparus ater (Linnaeus, 1758)","Animalia","Chordata","Aves","Passeriformes","Paridae","Periparus","Periparus","ater","species","Coal tit","accepted"
"HOG-1991-PHOPHO","HOG-1991-PHOPHO_1",1,"breeding pairs","present","HumanObservation","Phoenicurus phoenicurus (Linnaeus, 1758)","Animalia","Chordata","Aves","Passeriformes","Muscicapidae","Phoenicurus","Phoenicurus","phoenicurus","species","Common redstart","accepted"
"HOG-1991-SITEUR","HOG-1991-SITEUR_1",2,"breeding pairs","present","HumanObservation","Sitta europaea Linnaeus, 1758","Animalia","Chordata","Aves","Passeriformes","Sittidae","Sitta","Sitta","europaea","species","Eurasian nuthatch","accepted"
"HOG-1992-CYACAE","HOG-1992-CYACAE_1",37,"breeding pairs","present","HumanObservation","Cyanistes caeruleus (Linnaeus, 1758)","Animalia","Chordata","Aves","Passeriformes","Paridae","Cyanistes","Cyanistes","caeruleus","species","Blue tit","accepted"
"HOG-1992-FICHYP","HOG-1992-FICHYP_1",87,"breeding pairs","present","HumanObservation","Ficedula hypoleuca (Pallas, 1764)","Animalia","Chordata","Aves","Passeriformes","Muscicapidae","Ficedula","Ficedula","hypoleuca","species","Pied flycatcher","accepted"
"HOG-1992-PARMAJ","HOG-1992-PARMAJ_1",132,"breeding pairs","present","HumanObservation","Parus major Linnaeus, 1758","Animalia","Chordata","Aves","Passeriformes","Paridae","Parus","Parus","major","species","Great tit","accepted"
"HOG-1992-PASMON","HOG-1992-PASMON_1",8,"breeding pairs","present","HumanObservation","Passer montanus (Linnaeus, 1758)","Animalia","Chordata","Aves","Passeriformes","Passeridae","Passer","Passer","montanus","species","Eurasian tree sparrow","accepted"
"HOG-1992-PERATE","HOG-1992-PERATE_1",30,"breeding pairs","present","HumanObservation","Periparus ater (Linnaeus, 1758)","Animalia","Chordata","Aves","Passeriformes","Paridae","Periparus","Periparus","ater","species","Coal tit","accepted"
"HOG-1992-PHOPHO","HOG-1992-PHOPHO_1",2,"breeding pairs","present","HumanObservation","Phoenicurus phoenicurus (Linnaeus, 1758)","Animalia","Chordata","Aves","Passeriformes","Muscicapidae","Phoenicurus","Phoenicurus","phoenicurus","species","Common redstart","accepted"
"HOG-1993-CYACAE","HOG-1993-CYACAE_1",58,"breeding pairs","present","HumanObservation","Cyanistes caeruleus (Linnaeus, 1758)","Animalia","Chordata","Aves","Passeriformes","Paridae","Cyanistes","Cyanistes","caeruleus","species","Blue tit","accepted"
"HOG-1993-FICHYP","HOG-1993-FICHYP_1",89,"breeding pairs","present","HumanObservation","Ficedula hypoleuca (Pallas, 1764)","Animalia","Chordata","Aves","Passeriformes","Muscicapidae","Ficedula","Ficedula","hypoleuca","species","Pied flycatcher","accepted"
"HOG-1993-PARMAJ","HOG-1993-PARMAJ_1",143,"breeding pairs","present","HumanObservation","Parus major Linnaeus, 1758","Animalia","Chordata","Aves","Passeriformes","Paridae","Parus","Parus","major","species","Great tit","accepted"
"HOG-1993-PASMON","HOG-1993-PASMON_1",6,"breeding pairs","present","HumanObservation","Passer montanus (Linnaeus, 1758)","Animalia","Chordata","Aves","Passeriformes","Passeridae","Passer","Passer","montanus","species","Eurasian tree sparrow","accepted"
"HOG-1993-PERATE","HOG-1993-PERATE_1",16,"breeding pairs","present","HumanObservation","Periparus ater (Linnaeus, 1758)","Animalia","Chordata","Aves","Passeriformes","Paridae","Periparus","Periparus","ater","species","Coal tit","accepted"
"HOG-1993-SITEUR","HOG-1993-SITEUR_1",2,"breeding pairs","present","HumanObservation","Sitta europaea Linnaeus, 1758","Animalia","Chordata","Aves","Passeriformes","Sittidae","Sitta","Sitta","europaea","species","Eurasian nuthatch","accepted"
"HOG-1994-CYACAE","HOG-1994-CYACAE_1",58,"breeding pairs","present","HumanObservation","Cyanistes caeruleus (Linnaeus, 1758)","Animalia","Chordata","Aves","Passeriformes","Paridae","Cyanistes","Cyanistes","caeruleus","species","Blue tit","accepted"
"HOG-1994-FICHYP","HOG-1994-FICHYP_1",95,"breeding pairs","present","HumanObservation","Ficedula hypoleuca (Pallas, 1764)","Animalia","Chordata","Aves","Passeriformes","Muscicapidae","Ficedula","Ficedula","hypoleuca","species","Pied flycatcher","accepted"
"HOG-1994-PARMAJ","HOG-1994-PARMAJ_1",124,"breeding pairs","present","HumanObservation","Parus major Linnaeus, 1758","Animalia","Chordata","Aves","Passeriformes","Paridae","Parus","Parus","major","species","Great tit","accepted"
"HOG-1994-PASMON","HOG-1994-PASMON_1",4,"breeding pairs","present","HumanObservation","Passer montanus (Linnaeus, 1758)","Animalia","Chordata","Aves","Passeriformes","Passeridae","Passer","Passer","montanus","species","Eurasian tree sparrow","accepted"
"HOG-1994-PERATE","HOG-1994-PERATE_1",23,"breeding pairs","present","HumanObservation","Periparus ater (Linnaeus, 1758)","Animalia","Chordata","Aves","Passeriformes","Paridae","Periparus","Periparus","ater","species","Coal tit","accepted"
"HOG-1994-SITEUR","HOG-1994-SITEUR_1",6,"breeding pairs","present","HumanObservation","Sitta europaea Linnaeus, 1758","Animalia","Chordata","Aves","Passeriformes","Sittidae","Sitta","Sitta","europaea","species","Eurasian nuthatch","accepted"
"HOG-1995-CYACAE","HOG-1995-CYACAE_1",32,"breeding pairs","present","HumanObservation","Cyanistes caeruleus (Linnaeus, 1758)","Animalia","Chordata","Aves","Passeriformes","Paridae","Cyanistes","Cyanistes","caeruleus","species","Blue tit","accepted"
"HOG-1995-FICHYP","HOG-1995-FICHYP_1",101,"breeding pairs","present","HumanObservation","Ficedula hypoleuca (Pallas, 1764)","Animalia","Chordata","Aves","Passeriformes","Muscicapidae","Ficedula","Ficedula","hypoleuca","species","Pied flycatcher","accepted"
"HOG-1995-PARMAJ","HOG-1995-PARMAJ_1",108,"breeding pairs","present","HumanObservation","Parus major Linnaeus, 1758","Animalia","Chordata","Aves","Passeriformes","Paridae","Parus","Parus","major","species","Great tit","accepted"
"HOG-1995-PASMON","HOG-1995-PASMON_1",2,"breeding pairs","present","HumanObservation","Passer montanus (Linnaeus, 1758)","Animalia","Chordata","Aves","Passeriformes","Passeridae","Passer","Passer","montanus","species","Eurasian tree sparrow","accepted"
"HOG-1995-PERATE","HOG-1995-PERATE_1",18,"breeding pairs","present","HumanObservation","Periparus ater (Linnaeus, 1758)","Animalia","Chordata","Aves","Passeriformes","Paridae","Periparus","Periparus","ater","species","Coal tit","accepted"
"HOG-1995-POEPAL","HOG-1995-POEPAL_1",1,"breeding pairs","present","HumanObservation","Poecile palustris (Linnaeus, 1758)","Animalia","Chordata","Aves","Passeriformes","Paridae","Poecile","Poecile","palustris","species","Marsh tit","accepted"
"HOG-1996-CYACAE","HOG-1996-CYACAE_1",68,"breeding pairs","present","HumanObservation","Cyanistes caeruleus (Linnaeus, 1758)","Animalia","Chordata","Aves","Passeriformes","Paridae","Cyanistes","Cyanistes","caeruleus","species","Blue tit","accepted"
"HOG-1996-FICHYP","HOG-1996-FICHYP_1",84,"breeding pairs","present","HumanObservation","Ficedula hypoleuca (Pallas, 1764)","Animalia","Chordata","Aves","Passeriformes","Muscicapidae","Ficedula","Ficedula","hypoleuca","species","Pied flycatcher","accepted"
"HOG-1996-PARMAJ","HOG-1996-PARMAJ_1",156,"breeding pairs","present","HumanObservation","Parus major Linnaeus, 1758","Animalia","Chordata","Aves","Passeriformes","Paridae","Parus","Parus","major","species","Great tit","accepted"
"HOG-1996-PASMON","HOG-1996-PASMON_1",1,"breeding pairs","present","HumanObservation","Passer montanus (Linnaeus, 1758)","Animalia","Chordata","Aves","Passeriformes","Passeridae","Passer","Passer","montanus","species","Eurasian tree sparrow","accepted"
"HOG-1996-PERATE","HOG-1996-PERATE_1",11,"breeding pairs","present","HumanObservation","Periparus ater (Linnaeus, 1758)","Animalia","Chordata","Aves","Passeriformes","Paridae","Periparus","Periparus","ater","species","Coal tit","accepted"
"HOG-1996-POEPAL","HOG-1996-POEPAL_1",1,"breeding pairs","present","HumanObservation","Poecile palustris (Linnaeus, 1758)","Animalia","Chordata","Aves","Passeriformes","Paridae","Poecile","Poecile","palustris","species","Marsh tit","accepted"
"HOG-1996-SITEUR","HOG-1996-SITEUR_1",8,"breeding pairs","present","HumanObservation","Sitta europaea Linnaeus, 1758","Animalia","Chordata","Aves","Passeriformes","Sittidae","Sitta","Sitta","europaea","species","Eurasian nuthatch","accepted"
"HOG-1997-CYACAE","HOG-1997-CYACAE_1",39,"breeding pairs","present","HumanObservation","Cyanistes caeruleus (Linnaeus, 1758)","Animalia","Chordata","Aves","Passeriformes","Paridae","Cyanistes","Cyanistes","caeruleus","species","Blue tit","accepted"
"HOG-1997-FICHYP","HOG-1997-FICHYP_1",72,"breeding pairs","present","HumanObservation","Ficedula hypoleuca (Pallas, 1764)","Animalia","Chordata","Aves","Passeriformes","Muscicapidae","Ficedula","Ficedula","hypoleuca","species","Pied flycatcher","accepted"
"HOG-1997-PARMAJ","HOG-1997-PARMAJ_1",108,"breeding pairs","present","HumanObservation","Parus major Linnaeus, 1758","Animalia","Chordata","Aves","Passeriformes","Paridae","Parus","Parus","major","species","Great tit","accepted"
"HOG-1997-PERATE","HOG-1997-PERATE_1",11,"breeding pairs","present","HumanObservation","Periparus ater (Linnaeus, 1758)","Animalia","Chordata","Aves","Passeriformes","Paridae","Periparus","Periparus","ater","species","Coal tit","accepted"
"HOG-1997-POEPAL","HOG-1997-POEPAL_1",1,"breeding pairs","present","HumanObservation","Poecile palustris (Linnaeus, 1758)","Animalia","Chordata","Aves","Passeriformes","Paridae","Poecile","Poecile","palustris","species","Marsh tit","accepted"
"HOG-1997-SITEUR","HOG-1997-SITEUR_1",8,"breeding pairs","present","HumanObservation","Sitta europaea Linnaeus, 1758","Animalia","Chordata","Aves","Passeriformes","Sittidae","Sitta","Sitta","europaea","species","Eurasian nuthatch","accepted"
"HOG-1998-CYACAE","HOG-1998-CYACAE_1",27,"breeding pairs","present","HumanObservation","Cyanistes caeruleus (Linnaeus, 1758)","Animalia","Chordata","Aves","Passeriformes","Paridae","Cyanistes","Cyanistes","caeruleus","species","Blue tit","accepted"
"HOG-1998-FICHYP","HOG-1998-FICHYP_1",87,"breeding pairs","present","HumanObservation","Ficedula hypoleuca (Pallas, 1764)","Animalia","Chordata","Aves","Passeriformes","Muscicapidae","Ficedula","Ficedula","hypoleuca","species","Pied flycatcher","accepted"
"HOG-1998-PARMAJ","HOG-1998-PARMAJ_1",117,"breeding pairs","present","HumanObservation","Parus major Linnaeus, 1758","Animalia","Chordata","Aves","Passeriformes","Paridae","Parus","Parus","major","species","Great tit","accepted"
"HOG-1998-PASMON","HOG-1998-PASMON_1",1,"breeding pairs","present","HumanObservation","Passer montanus (Linnaeus, 1758)","Animalia","Chordata","Aves","Passeriformes","Passeridae","Passer","Passer","montanus","species","Eurasian tree sparrow","accepted"
"HOG-1998-PERATE","HOG-1998-PERATE_1",16,"breeding pairs","present","HumanObservation","Periparus ater (Linnaeus, 1758)","Animalia","Chordata","Aves","Passeriformes","Paridae","Periparus","Periparus","ater","species","Coal tit","accepted"
"HOG-1998-POEPAL","HOG-1998-POEPAL_1",1,"breeding pairs","present","HumanObservation","Poecile palustris (Linnaeus, 1758)","Animalia","Chordata","Aves","Passeriformes","Paridae","Poecile","Poecile","palustris","species","Marsh tit","accepted"
"HOG-1998-SITEUR","HOG-1998-SITEUR_1",5,"breeding pairs","present","HumanObservation","Sitta europaea Linnaeus, 1758","Animalia","Chordata","Aves","Passeriformes","Sittidae","Sitta","Sitta","europaea","species","Eurasian nuthatch","accepted"
"HOG-1999-CYACAE","HOG-1999-CYACAE_1",32,"breeding pairs","present","HumanObservation","Cyanistes caeruleus (Linnaeus, 1758)","Animalia","Chordata","Aves","Passeriformes","Paridae","Cyanistes","Cyanistes","caeruleus","species","Blue tit","accepted"
"HOG-1999-FICHYP","HOG-1999-FICHYP_1",78,"breeding pairs","present","HumanObservation","Ficedula hypoleuca (Pallas, 1764)","Animalia","Chordata","Aves","Passeriformes","Muscicapidae","Ficedula","Ficedula","hypoleuca","species","Pied flycatcher","accepted"
"HOG-1999-PARMAJ","HOG-1999-PARMAJ_1",134,"breeding pairs","present","HumanObservation","Parus major Linnaeus, 1758","Animalia","Chordata","Aves","Passeriformes","Paridae","Parus","Parus","major","species","Great tit","accepted"
